# Local Audit Report
# Date: 2026-02-27 16:41:12.614685+00:00
# Network (SSID): Ethernet_or_Unknown
# Avg Latency: 559ms
# Success Rate: 2.8%
# Total Passed: 56

[SHADOWSOCKS] [209ms] ss://YWVzLTI1Ni1nY206akpIcTgwN2JRN1RNMHlPaA==@94.72.127.58:80#%5B%F0%9F%87%BA%F0%9F%87%B8%20US%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20539990
[VMESS] [223ms] vmess://eyJ2IjogIjIiLCAicHMiOiAiW1x1ZDgzY1x1ZGRlOFx1ZDgzY1x1ZGRlNiBDQV0gXHVkODNjXHVkZmYzXHVmZTBmIFNoYXRha1ZQTiA3MzYxOTYiLCAiYWRkIjogIjUxLjc5LjEwMi4yNTMiLCAicG9ydCI6ICI4MCIsICJpZCI6ICI1OGZlMTU0Mi01MjkwLTQwYWQtODE1YS03NzcwN2E4MWFmZTUiLCAiYWlkIjogIjAiLCAic2N5IjogImF1dG8iLCAibmV0IjogIndzIiwgInR5cGUiOiBudWxsLCAiaG9zdCI6ICIiLCAicGF0aCI6ICIvSU9lYmhMTWhsMUNUYkZIYkw5NW15ZlJYMiIsICJ0bHMiOiAiIiwgInNuaSI6IG51bGwsICJhbHBuIjogIiJ9
[SHADOWSOCKS] [303ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpjdklJODVUclc2bjBPR3lmcEhWUzF1@193.29.139.157:8080#%5B%F0%9F%87%B3%F0%9F%87%B1%20NL%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20961586
[SHADOWSOCKS] [307ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpjdklJODVUclc2bjBPR3lmcEhWUzF1@193.29.139.217:8080#%5B%F0%9F%87%B3%F0%9F%87%B1%20NL%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20296736
[SHADOWSOCKS] [341ms] ss://YWVzLTI1Ni1nY206bUs3ZU4zejI3NlRyMHZWQQ==@154.12.240.141:80#%5B%F0%9F%87%BA%F0%9F%87%B8%20US%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20706062
[SHADOWSOCKS] [355ms] ss://YWVzLTI1Ni1nY206bGRqbXdvTnFnUXFxYzQzag==@149.102.132.184:443#%5B%F0%9F%87%AC%F0%9F%87%A7%20GB%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20316101
[SHADOWSOCKS] [381ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTo5N2ZlNmIwN2NiZmFmN2U3@157.185.173.60:18425#%5B%F0%9F%87%A7%F0%9F%87%B7%20BR%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20126838
[SHADOWSOCKS] [390ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpkMTIxMzg1ZjcwMGE2OTE1@163.171.213.46:11201#%5B%F0%9F%87%AE%F0%9F%87%B1%20IL%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20711512
[SHADOWSOCKS] [419ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTo5N2ZlNmIwN2NiZmFmN2U3@157.185.173.60:18427#%5B%F0%9F%87%A7%F0%9F%87%B7%20BR%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20740926
[SHADOWSOCKS] [424ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTo5N2ZlNmIwN2NiZmFmN2U3@157.185.173.60:18424#%5B%F0%9F%87%A7%F0%9F%87%B7%20BR%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20435099
[SHADOWSOCKS] [425ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTo5N2ZlNmIwN2NiZmFmN2U3@157.185.173.60:18426#%5B%F0%9F%87%A7%F0%9F%87%B7%20BR%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20700639
[SHADOWSOCKS] [428ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTowY2RkZTY5NTg3MzU2NWVl@38.54.59.38:11204#%5B%F0%9F%87%AA%F0%9F%87%AC%20EG%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20434123
[VLESS] [445ms] vless://48ff2b70-e180-582f-8866-d9a2edeed5f5@57.129.53.180:23576?security=reality&type=tcp&path=/&sni=fuck.rkn&flow=xtls-rprx-vision&pbk=1y5h2FGWKXTJ9xLPCqPo6Mw7RxoZzh6fGkEQKNxpZ3s&fp=chrome&sid=01&spx=/---Join---PLANB_NET---Join---PLANB_NET---Join---PLANB_NET#%5B%F0%9F%87%A9%F0%9F%87%AA%20DE%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20833522
[SHADOWSOCKS] [448ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTphNDZhN2YxODc2NDcyNTUy@38.60.203.155:11201#%5B%F0%9F%87%AD%F0%9F%87%B0%20HK%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20198210
[SHADOWSOCKS] [450ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTo3MTgwNzcxOGY1OTNkM2U2@154.205.148.202:11205#%5B%F0%9F%87%B9%F0%9F%87%B7%20TR%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20592239
[SHADOWSOCKS] [474ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTowY2RkZTY5NTg3MzU2NWVl@38.54.59.38:11205#%5B%F0%9F%87%AA%F0%9F%87%AC%20EG%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20713945
[SHADOWSOCKS] [485ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTo3MTgwNzcxOGY1OTNkM2U2@154.205.148.202:11204#%5B%F0%9F%87%B9%F0%9F%87%B7%20TR%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20813657
[SHADOWSOCKS] [496ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTo3ODMyMmU0YjkzNDg3MGI2@154.26.156.99:47386#%5B%F0%9F%87%A6%F0%9F%87%BA%20AU%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20318843
[SHADOWSOCKS] [502ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNToxYTE3YzFmNzRjZGM1MWQ1@91.106.109.17:48210#%5B%F0%9F%87%AF%F0%9F%87%B4%20JO%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20291488
[SHADOWSOCKS] [508ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTowY2RkZTY5NTg3MzU2NWVl@38.54.59.38:11203#%5B%F0%9F%87%AA%F0%9F%87%AC%20EG%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20432925
[SHADOWSOCKS] [511ms] ss://YWVzLTI1Ni1nY206cUt2Zlg3eVFuVDk5T011Mw==@194.233.75.190:80#%5B%F0%9F%87%B8%F0%9F%87%AC%20SG%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20465273
[SHADOWSOCKS] [516ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpjOTBkNjNkYzdhNjIwM2Fm@46.250.241.55:45720#%5B%F0%9F%87%A6%F0%9F%87%BA%20AU%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20792274
[VLESS] [518ms] vless://309fa273-6579-4cb2-9143-7cad50401eba@91.99.106.117:443?security=reality&type=tcp&path=/&sni=www.cloudflare.com&flow=xtls-rprx-vision&pbk=gZGVp5PUdafgsmi1gawa1yLuha_XhXRc_W9SvPiGmTY&fp=chrome&sid=7cad5040#%5B%F0%9F%87%A9%F0%9F%87%AA%20DE%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20975214
[SHADOWSOCKS] [521ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNToxYTE3YzFmNzRjZGM1MWQ1@91.106.109.17:48212#%5B%F0%9F%87%AF%F0%9F%87%B4%20JO%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20130456
[SHADOWSOCKS] [522ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTo3ODMyMmU0YjkzNDg3MGI2@154.26.156.99:47387#%5B%F0%9F%87%A6%F0%9F%87%BA%20AU%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20810308
[SHADOWSOCKS] [536ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTo3ODMyMmU0YjkzNDg3MGI2@154.26.156.99:47388#%5B%F0%9F%87%A6%F0%9F%87%BA%20AU%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20137600
[SHADOWSOCKS] [542ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNToxYTE3YzFmNzRjZGM1MWQ1@91.106.109.17:48213#%5B%F0%9F%87%AF%F0%9F%87%B4%20JO%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20714097
[VLESS] [547ms] vless://42a7df85-0739-4760-a248-32a491abfa2a@94.228.210.70:443?security=reality&type=tcp&path=/&sni=hls-svod.itunes.apple.com&flow=xtls-rprx-vision&pbk=mLmBhbVFfNuo2eUgBh6r9-5Koz9mUCn3aSzlR6IejUg&fp=chrome&sid=86e999a2cdc2#%5B%F0%9F%87%B3%F0%9F%87%B1%20NL%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20849738
[SHADOWSOCKS] [548ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpjYTVhNWVmYWUwMGE4MzJi@112.197.26.106:45312#%5B%F0%9F%87%BB%F0%9F%87%B3%20VN%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20827780
[SHADOWSOCKS] [549ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTo3ODMyMmU0YjkzNDg3MGI2@154.26.156.99:47385#%5B%F0%9F%87%A6%F0%9F%87%BA%20AU%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20211871
[SHADOWSOCKS] [550ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpjYTVhNWVmYWUwMGE4MzJi@112.197.26.106:45310#%5B%F0%9F%87%BB%F0%9F%87%B3%20VN%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20957815
[SHADOWSOCKS] [566ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpBUmd2R1p5d0ErZ2FjZ0dWMjZCdm11MDUrd1ptUlcvaitBZFUrWjhCdDQ0PQ==@91.148.135.31:990#%5B%F0%9F%87%A8%F0%9F%87%BE%20CY%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20467654
[SHADOWSOCKS] [568ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpjYTVhNWVmYWUwMGE4MzJi@112.197.26.106:45313#%5B%F0%9F%87%BB%F0%9F%87%B3%20VN%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20267510
[SHADOWSOCKS] [569ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNToxYTE3YzFmNzRjZGM1MWQ1@91.106.109.17:48211#%5B%F0%9F%87%AF%F0%9F%87%B4%20JO%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20788099
[SHADOWSOCKS] [570ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTo5ZDk3NDMzNjg4ZTdlZmQ1@163.171.206.24:44236#%5B%F0%9F%87%AE%F0%9F%87%B3%20IN%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20428076
[SHADOWSOCKS] [577ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNToxZTY4ZDRiZDAwMjQzN2Fi@149.104.71.134:11201#%5B%F0%9F%87%B8%F0%9F%87%A6%20SA%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20451983
[SHADOWSOCKS] [581ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTo3MzU1ODJlNTEzMjhhZjk5@163.171.206.24:28028#%5B%F0%9F%87%AE%F0%9F%87%B3%20IN%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20592862
[VLESS] [591ms] vless://405ba2d6-7fcb-4cdd-9c77-4ecc616d77c8@93.94.51.210:443?security=tls&type=tcp&path=/&sni=deu549.worldbypass.org&flow=xtls-rprx-vision#%5B%F0%9F%87%A9%F0%9F%87%AA%20DE%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20356242
[SHADOWSOCKS] [597ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTo5ZDk3NDMzNjg4ZTdlZmQ1@163.171.206.24:44234#%5B%F0%9F%87%AE%F0%9F%87%B3%20IN%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20935876
[SHADOWSOCKS] [613ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTozYjcyYWQ1NzAzNTgzNWM3@38.54.93.66:49696#%5B%F0%9F%87%B0%F0%9F%87%AD%20KH%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20540358
[SHADOWSOCKS] [615ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTozYjcyYWQ1NzAzNTgzNWM3@38.54.93.66:49693#%5B%F0%9F%87%B0%F0%9F%87%AD%20KH%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20343368
[SHADOWSOCKS] [617ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTozYjcyYWQ1NzAzNTgzNWM3@38.54.93.66:49694#%5B%F0%9F%87%B0%F0%9F%87%AD%20KH%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20739869
[SHADOWSOCKS] [617ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpBUmd2R1p5d0ErZ2FjZ0dWMjZCdm11MDUrd1ptUlcvaitBZFUrWjhCdDQ0PQ==@154.205.150.157:990#%5B%F0%9F%87%BF%F0%9F%87%A6%20ZA%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20343066
[SHADOWSOCKS] [631ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTozYjcyYWQ1NzAzNTgzNWM3@38.54.93.66:49695#%5B%F0%9F%87%B0%F0%9F%87%AD%20KH%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20126727
[VLESS] [656ms] vless://e384913f-8863-47b4-8858-a84b68abb4a6@144.31.130.49:23335?security=reality&type=tcp&sni=icloud.com&flow=xtls-rprx-vision&pbk=7Gi8eiUU9TIVbGuvSU16gl5-Aqt7tcCSB9x6CSxyvik&fp=chrome&sid=67b1e94e4dd1ef90#%5B%F0%9F%87%B8%F0%9F%87%AA%20SE%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20975963
[SHADOWSOCKS] [675ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpjYjQyNThkYzFiNTM2MTNj@163.171.207.11:29461#%5B%F0%9F%87%B8%F0%9F%87%A6%20SA%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20662252
[SHADOWSOCKS] [683ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpBUmd2R1p5d0ErZ2FjZ0dWMjZCdm11MDUrd1ptUlcvaitBZFUrWjhCdDQ0PQ==@154.205.159.100:990#%5B%F0%9F%87%AE%F0%9F%87%A9%20ID%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20606974
[VLESS] [705ms] vless://14818654-7689-453a-9a1f-4c72f89782d5@94.131.104.229:2040?security=reality&type=tcp&path=/&sni=tradingview.com&pbk=1RJ2ulM9UyAC8PFy194dV0RTZI6xF6U4CGClhNz9fTg&fp=qq&sid=50ed6f6007515d63&spx=/#%5B%F0%9F%87%B1%F0%9F%87%BB%20LV%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20136765
[SHADOWSOCKS] [751ms] ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpjYjQyNThkYzFiNTM2MTNj@163.171.207.11:29464#%5B%F0%9F%87%B8%F0%9F%87%A6%20SA%5D%20%F0%9F%8F%B3%EF%B8%8F%20ShatakVPN%20734147
